x,y,z,intensity,return_num,classification
282004.35000000003,5660008.54,31.740000000000002,47556,1,2
282004.07,5660008.96,31.740000000000002,45306,1,2
282004.35000000003,5660008.86,31.78,47796,1,2
282004.73,5660008.57,31.78,47775,1,2
282004.72000000003,5660008.93,31.79,48146,1,2
282004.35000000003,5660009.18,31.8,49435,1,2
282004.07,5660009.27,31.79,47512,1,2
282004.35000000003,5660009.46,31.84,48670,1,2
282004.72000000003,5660009.25,31.75,47469,1,2
282005.52,5660008.68,31.75,46136,1,2
282005.16000000003,5660008.72,31.75,46486,1,2
282005.82,5660008.73,31.75,47491,1,2
282005.16000000003,5660009.02,31.740000000000002,46726,1,2
282005.52,5660008.99,31.740000000000002,44957,1,2
282005.15,5660009.37,31.76,46966,1,2
282005.52,5660009.3100000005,31.75,46202,1,2
282005.82,5660009.07,31.75,46639,1,2
282005.82,5660009.39,31.75,43821,1,2
282000.14,5660009.64,31.71,33313,1,2
282000.14,5660009.97,31.720000000000002,34296,1,2
282000.55,5660009.82,31.720000000000002,39757,1,2
282000.98,5660009.92,31.720000000000002,33794,1,2
282000.14,5660010.32,31.720000000000002,37879,1,2
282000.55,5660010.15,31.73,35148,1,2
282000.98,5660010.25,31.73,33291,1,2
282000.55,5660010.47,31.720000000000002,33466,1,2
282000.98,5660010.59,31.720000000000002,35170,1,2
282000.99,5660009.65,31.7,32417,1,2
282000.14,5660010.98,31.720000000000002,34777,1,2
282000.54,5660010.78,31.7,33553,1,2
282000.14,5660011.3,31.73,33575,1,2
282000.14,5660011.59,31.720000000000002,33903,1,2
282000.54,5660011.44,31.73,40784,1,2
282001.35000000003,5660009.8,31.73,34733,1,2
282001.35000000003,5660010.07,31.76,41134,1,2
282001.65,5660009.66,31.75,43253,1,2
282001.97000000003,5660009.8,31.75,44126,1,2
282001.65,5660010.0,31.75,43995,1,2
282001.35000000003,5660010.39,31.75,42663,1,2
282001.65,5660010.29,31.75,42728,1,2
282001.97000000003,5660010.14,31.76,43143,1,2
282001.97000000003,5660010.47,31.76,42379,1,2
282000.54,5660011.14,31.76,39277,1,2
282000.98,5660010.94,31.75,40391,1,2
282000.98,5660011.21,31.740000000000002,43930,1,2
282000.98,5660011.52,31.8,47687,1,2
282001.35000000003,5660010.73,31.77,46071,1,2
282001.35000000003,5660011.04,31.75,44301,1,2
282001.97000000003,5660010.8,31.76,42575,1,2
282001.65,5660010.9,31.740000000000002,44389,1,2
282001.35000000003,5660011.38,31.75,42685,1,2
282001.65,5660011.24,31.740000000000002,41571,1,2
282001.97000000003,5660011.16,31.75,43253,1,2
282001.65,5660011.55,31.73,42444,1,2
282001.97000000003,5660011.49,31.740000000000002,42444,1,2
282000.14,5660011.92,31.73,34689,1,2
282000.54,5660012.08,31.73,37813,1,2
282000.54,5660011.74,31.720000000000002,37245,1,2
282000.14,5660012.27,31.68,33684,1,2
282000.98,5660012.54,31.720000000000002,40216,1,2
282001.65,5660011.84,31.720000000000002,42029,1,2
282001.65,5660012.5,31.720000000000002,36546,1,2
282000.14,5660012.87,31.73,38512,1,2
282000.98,5660013.2,31.720000000000002,36022,1,2
282000.98,5660013.52,31.73,40740,1,2
282001.65,5660012.78,31.68,30146,1,2
282001.65,5660013.16,31.7,35367,1,2
282001.96,5660013.09,31.71,35519,1,2
282001.34,5660013.61,31.720000000000002,33859,1,2
282001.64,5660013.49,31.7,33335,1,2
282000.98,5660011.89,31.78,44978,1,2
282000.54,5660012.41,31.76,43668,1,20
282000.98,5660012.21,31.78,43908,1,2
282001.35000000003,5660011.69,31.78,43100,1,2
282001.35000000003,5660011.99,31.76,46071,1,2
282001.97000000003,5660011.82,31.73,39189,1,2
282001.35000000003,5660012.3100000005,31.740000000000002,42029,1,2
282001.35000000003,5660012.64,31.76,37573,1,2
282001.65,5660012.2,31.73,38731,1,2
282001.97000000003,5660012.16,31.740000000000002,39299,1,2
282001.97000000003,5660012.46,31.740000000000002,37901,1,2
282000.54,5660012.71,31.79,45546,1,20
282000.14,5660013.2,31.75,42706,1,2
282000.54,5660013.08,31.740000000000002,43231,1,2
282000.98,5660012.91,31.73,39539,1,2
282000.54,5660013.38,31.82,46027,1,20
282000.14,5660013.53,31.77,42160,1,2
282000.54,5660013.69,31.75,45524,1,2
282001.35000000003,5660012.99,31.740000000000002,35017,1,2
282001.96,5660012.75,31.740000000000002,34493,1,2
282001.34,5660013.3,31.76,37267,1,2
282001.96,5660013.39,31.75,42466,1,20
282002.36,5660011.03,31.720000000000002,38250,1,2
282002.36,5660009.73,31.740000000000002,43143,1,2
282002.36,5660010.03,31.73,42532,1,2
282002.71,5660009.58,31.740000000000002,40893,1,2
282003.02,5660009.6,31.73,46486,1,2
282002.71,5660009.89,31.73,42641,1,2
